symbol,rebalance_date,horizon,horizon_days,current_price,p10,p25,median,p75,p90,realized,mu,sigma,kappa,half_life,trend_ann
JPM,2023-03-13,6mo,126,121.62451934814453,93.44274705075718,105.72319420777615,121.47783900085973,138.33530775418166,155.80807734376404,137.61073303222656,0.027821273632336663,0.2779130432508156,0.009561034072998914,72.49709343861095,-0.26661748300664156
JPM,2023-03-13,1yr,252,121.62451934814453,83.86999179598864,98.91036148463304,121.32893953675182,147.46684942359911,173.39575932728516,182.409912109375,0.027821273632336663,0.2779130432508156,0.009561034072998914,72.49709343861095,-0.26661748300664156
JPM,2023-04-12,1mo,21,120.01070404052734,107.82696734581648,113.1714402294747,119.65868970390648,126.58539011828279,133.64586749219532,127.06192016601562,-0.005206940068751997,0.2815712568042277,0.009682940537588907,71.5843681853841,-0.18065588550824646
JPM,2023-04-12,3mo,63,120.01070404052734,98.9774974374466,107.85330087690167,118.64353684683356,130.41181141596337,142.93729962984827,139.9898223876953,-0.005206940068751997,0.2815712568042277,0.009682940537588907,71.5843681853841,-0.18065588550824646
JPM,2023-04-12,6mo,126,120.01070404052734,90.74394200513963,102.16714610181612,118.6603909606891,135.1871682261327,151.96970875782273,138.44613647460938,-0.005206940068751997,0.2815712568042277,0.009682940537588907,71.5843681853841,-0.18065588550824646
JPM,2023-04-12,1yr,252,120.01070404052734,80.3651824693971,95.6996746676416,116.99943324907841,141.79292333426173,168.54991853238974,175.23876953125,-0.005206940068751997,0.2815712568042277,0.009682940537588907,71.5843681853841,-0.18065588550824646
JPM,2023-05-11,1mo,21,127.06192016601562,115.06876490800798,120.73972104644065,127.83249232374621,135.65140021856385,143.0516752766654,131.68492126464844,0.16771454329195024,0.2811985168530448,0.00977334729322619,70.92218865898265,-0.08436723067808166
JPM,2023-05-11,3mo,63,127.06192016601562,107.76442396708661,117.79931603650468,129.80103126723753,143.49521920714807,154.72738327674713,145.23696899414062,0.16771454329195024,0.2811985168530448,0.00977334729322619,70.92218865898265,-0.08436723067808166
JPM,2023-05-11,6mo,126,127.06192016601562,101.40947807004024,114.51619069090835,132.47190232518722,150.42986059621205,171.95429284509595,136.68418884277344,0.16771454329195024,0.2811985168530448,0.00977334729322619,70.92218865898265,-0.08436723067808166
JPM,2023-05-11,1yr,252,127.06192016601562,93.89663706093658,112.76485042412898,137.3312721953207,166.510215926897,198.51243146606737,190.52029418945312,0.16771454329195024,0.2811985168530448,0.00977334729322619,70.92218865898265,-0.08436723067808166
